geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_state,geolocation_city,geometry
1001,-23.550189776551765,-46.6340235559042,sp,sao paulo,POINT (-46.6340235559042 -23.55018977655176)
1002,-23.54814573176355,-46.63497921074498,sp,sao paulo,POINT (-46.63497921074498 -23.54814573176355)
1003,-23.54899372481316,-46.635731309975874,sp,sao paulo,POINT (-46.63573130997587 -23.54899372481316)
1004,-23.549798842277006,-46.63475694378971,sp,sao paulo,POINT (-46.63475694378971 -23.54979884227701)
1005,-23.549456199830747,-46.63673294803691,sp,sao paulo,POINT (-46.63673294803691 -23.54945619983075)
1006,-23.55010181145287,-46.636136735174176,sp,sao paulo,POINT (-46.63613673517418 -23.55010181145287)
1007,-23.550046202351663,-46.637251459637646,sp,sao paulo,POINT (-46.63725145963765 -23.55004620235167)
1008,-23.54600174938346,-46.63588592135778,sp,sao paulo,POINT (-46.63588592135778 -23.54600174938346)
1009,-23.546835208320868,-46.636490695312204,sp,sao paulo,POINT (-46.6364906953122 -23.54683520832087)
1010,-23.54638943836927,-46.635226081509046,sp,sao paulo,POINT (-46.63522608150905 -23.54638943836927)
1011,-23.54690864025111,-46.63558202636042,sp,sao paulo,POINT (-46.63558202636042 -23.54690864025111)
1012,-23.547789733146864,-46.63485900505736,sp,sao paulo,POINT (-46.63485900505736 -23.54778973314686)
1013,-23.5471420283239,-46.63423580006204,sp,sao paulo,POINT (-46.63423580006204 -23.5471420283239)
1014,-23.545912805690417,-46.63361537124495,sp,sao paulo,POINT (-46.63361537124495 -23.54591280569042)
1015,-23.54766574938348,-46.63155857072268,sp,sao paulo,POINT (-46.63155857072267 -23.54766574938348)
1016,-23.54897640702995,-46.63235192955855,sp,sao paulo,POINT (-46.63235192955855 -23.54897640702995)
1017,-23.54953127194786,-46.63102384555224,sp,sao paulo,POINT (-46.63102384555224 -23.54953127194786)
1018,-23.550928517909007,-46.63243146837755,sp,sao paulo,POINT (-46.63243146837755 -23.55092851790901)
1019,-23.551774137807584,-46.63089338270138,sp,sao paulo,POINT (-46.63089338270138 -23.55177413780758)
1020,-23.55233565155142,-46.630049709845736,sp,sao paulo,POINT (-46.63004970984574 -23.55233565155142)
1021,-23.543000459064803,-46.63214323386248,sp,sao paulo,POINT (-46.63214323386248 -23.5430004590648)
1022,-23.544921826153427,-46.631931335611945,sp,sao paulo,POINT (-46.63193133561195 -23.54492182615343)
1023,-23.542330784361457,-46.63137340438761,sp,sao paulo,POINT (-46.63137340438761 -23.54233078436146)
1024,-23.54140143278026,-46.62990400057277,sp,sao paulo,POINT (-46.62990400057277 -23.54140143278026)
